From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
849;9887;sea;7452;-1;-1;-1;-1;;Marmara
13205;10904;sea;2919;-1;-1;-1;-1;;Hormuz
13205;4959;sea;2919;-1;-1;-1;-1;;Hormuz1
4985;10752;sea;2800;-1;-1;-1;-1;;Aden
4135;12087;sea;5407;-1;-1;-1;-1;;Gibraltar
6322;185;sea;1885;-1;-1;-1;-1;;Orel
11278;9228;sea;1211;-1;-1;-1;-1;;Aaland1
6066;9228;sea;990;-1;-1;-1;-1;;Aaland2
374;3368;sea;2729;-1;-1;-1;-1;;Verden
6350;3379;sea;8340;-1;-1;-1;-1;;Ayyrshire
1205;7211;sea;5913;-1;-1;-1;-1;;Sparta
4109;3401;sea;6801;-1;-1;-1;-1;;Athens-Naxos
3305;3374;sea;2408;-1;-1;-1;-1;;Lolland-Sjaelland
10201;7265;sea;7479;-1;-1;-1;-1;;Ceylon-Madurai
4424;1277;sea;5960;-1;-1;-1;-1;;Johor-Pasai
7360;10186;sea;2899;-1;-1;-1;-1;;Cebu-Mindanao
4269;7385;sea;8751;-1;-1;-1;-1;;Cebu-Samar
7419;10272;sea;2971;-1;-1;-1;-1;;Manila-Palawan
10272;7423;sea;2876;-1;-1;-1;-1;;Manila-Cebu
4179;11946;sea;8791;-1;-1;-1;-1;;Tosa-Aki
10874;12853;sea;2569;-1;-1;-1;-1;;Marajo-Belem
10874;12999;sea;2569;-1;-1;-1;-1;;Marajo-Para
13202;1869;sea;4722;-1;-1;-1;-1;;Haida-Columbia
7259;1408;sea;5257;-1;-1;-1;-1;;Vancouver-Strait1
7259;10157;sea;5257;-1;-1;-1;-1;;Vancouver-Strait2
6364;3325;sea;2408;-1;-1;-1;-1;;Aarhus-Odense
3260;3305;sea;2408;-1;-1;-1;-1;;Kobenhaven-Lolland
12698;7810;sea;2935;-1;-1;-1;-1;;Newfoundland-Quebec
3917;865;sea;8492;-1;-1;-1;-1;;Delaware-Chesapeake
13001;10219;sea;5414;-1;-1;-1;-1;;Timor-Flores
6336;3314;sea;8622;-1;-1;-1;-1;;Friesland-Holland
9793;7114;sea;8845;-1;-1;-1;-1;;Ibiza-Palma
6062;13291;sea;3590;-1;-1;-1;-1;;Outer Hebrides
6062;13293;sea;3590;-1;-1;-1;-1;;Outer-Inner Hebrides
6205;13293;sea;3590;-1;-1;-1;-1;;Sutherland-Inner Hebrides
3373;11266;sea;3590;-1;-1;-1;-1;;Inverness-Inner Hebrides
13284;13282;sea;3590;-1;-1;-1;-1;;Argyll-Inner Hebrides
11064;13304;sea;3195;-1;-1;-1;-1;;Sutherland-Orkenyjar
13291;3373;sea;3590;-1;-1;-1;-1;;Outer-Inner Hebrides
3373;13284;sea;3590;-1;-1;-1;-1;;Outer-Inner Hebrides
743;13215;impassable;-1;-1;-1;-1;-1;;Pyrenees
3737;13215;impassable;-1;-1;-1;-1;-1;;Pyrenees
11697;13215;impassable;-1;-1;-1;-1;-1;;Pyrenees
11697;13214;impassable;-1;-1;-1;-1;-1;;Pyrenees
9884;13214;impassable;-1;-1;-1;-1;-1;;Pyrenees
9884;13305;impassable;-1;-1;-1;-1;-1;;Pyrenees
9882;3899;impassable;-1;-1;-1;-1;-1;;Pyrenees
9882;13305;impassable;-1;-1;-1;-1;-1;;Pyrenees
3915;3899;impassable;-1;-1;-1;-1;-1;;Pyrenees
6931;3899;impassable;-1;-1;-1;-1;-1;;Pyrenees
6931;3898;impassable;-1;-1;-1;-1;-1;;Pyrenees
6915;3898;impassable;-1;-1;-1;-1;-1;;Pyrenees
-1;-1;;-1;-1;-1;-1;-1;-1
